"page";"surat";"ayat"
"1";"1-1";"1-7"
"2";"2-2";"1-5"
"3";"2-2";"6-16"
"4";"2-2";"17-24"
"5";"2-2";"25-29"
"6";"2-2";"30-37"
"7";"2-2";"38-48"
"8";"2-2";"49-57"
"9";"2-2";"58-61"
"10";"2-2";"62-69"
"11";"2-2";"70-76"
"12";"2-2";"77-83"
"13";"2-2";"84-88"
"14";"2-2";"89-93"
"15";"2-2";"94-101"
"16";"2-2";"102-105"
"17";"2-2";"106-112"
"18";"2-2";"113-119"
"19";"2-2";"120-126"
"20";"2-2";"127-134"
"21";"2-2";"135-141"
"22";"2-2";"142-145"
"23";"2-2";"146-153"
"24";"2-2";"154-163"
"25";"2-2";"164-169"
"26";"2-2";"170-176"
"27";"2-2";"177-181"
"28";"2-2";"182-186"
"29";"2-2";"187-190"
"30";"2-2";"191-196"
"31";"2-2";"197-202"
"32";"2-2";"203-210"
"33";"2-2";"211-215"
"34";"2-2";"216-219"
"35";"2-2";"220-224"
"36";"2-2";"225-230"
"37";"2-2";"231-233"
"38";"2-2";"234-237"
"39";"2-2";"238-245"
"40";"2-2";"246-248"
"41";"2-2";"249-252"
"42";"2-2";"253-256"
"43";"2-2";"257-259"
"44";"2-2";"260-264"
"45";"2-2";"265-269"
"46";"2-2";"270-274"
"47";"2-2";"275-281"
"48";"2-2";"282-282"
"49";"2-2";"283-286"
"50";"3-3";"1-9"
"51";"3-3";"10-15"
"52";"3-3";"16-22"
"53";"3-3";"23-29"
"54";"3-3";"30-37"
"55";"3-3";"38-45"
"56";"3-3";"46-52"
"57";"3-3";"53-61"
"58";"3-3";"62-70"
"59";"3-3";"71-77"
"60";"3-3";"78-83"
"61";"3-3";"84-91"
"62";"3-3";"92-100"
"63";"3-3";"101-108"
"64";"3-3";"109-115"
"65";"3-3";"116-121"
"66";"3-3";"122-132"
"67";"3-3";"133-140"
"68";"3-3";"141-148"
"69";"3-3";"149-153"
"70";"3-3";"154-157"
"71";"3-3";"158-165"
"72";"3-3";"166-173"
"73";"3-3";"174-180"
"74";"3-3";"181-186"
"75";"3-3";"187-194"
"76";"3-3";"195-200"
"77";"4-4";"1-6"
"78";"4-4";"7-11"
"79";"4-4";"12-14"
"80";"4-4";"15-19"
"81";"4-4";"20-23"
"82";"4-4";"24-26"
"83";"4-4";"27-33"
"84";"4-4";"34-37"
"85";"4-4";"38-44"
"86";"4-4";"45-51"
"87";"4-4";"52-59"
"88";"4-4";"60-65"
"89";"4-4";"66-74"
"90";"4-4";"75-79"
"91";"4-4";"80-86"
"92";"4-4";"87-91"
"93";"4-4";"92-94"
"94";"4-4";"95-101"
"95";"4-4";"102-105"
"96";"4-4";"106-113"
"97";"4-4";"114-121"
"98";"4-4";"122-127"
"99";"4-4";"128-134"
"100";"4-4";"135-140"
"101";"4-4";"141-147"
"102";"4-4";"148-154"
"103";"4-4";"155-162"
"104";"4-4";"163-170"
"105";"4-4";"171-175"
"106";"4-5";"176-176,1-2"
"107";"5-5";"3-5"
"108";"5-5";"6-9"
"109";"5-5";"10-13"
"110";"5-5";"14-17"
"111";"5-5";"18-23"
"112";"5-5";"24-31"
"113";"5-5";"32-36"
"114";"5-5";"37-41"
"115";"5-5";"42-45"
"116";"5-5";"46-50"
"117";"5-5";"51-57"
"118";"5-5";"58-64"
"119";"5-5";"65-70"
"120";"5-5";"71-76"
"121";"5-5";"77-82"
"122";"5-5";"83-89"
"123";"5-5";"90-95"
"124";"5-5";"96-103"
"125";"5-5";"104-108"
"126";"5-5";"109-113"
"127";"5-5";"114-120"
"128";"6-6";"1-8"
"129";"6-6";"9-18"
"130";"6-6";"19-27"
"131";"6-6";"28-35"
"132";"6-6";"36-44"
"133";"6-6";"45-52"
"134";"6-6";"53-59"
"135";"6-6";"60-68"
"136";"6-6";"69-73"
"137";"6-6";"74-81"
"138";"6-6";"82-90"
"139";"6-6";"91-94"
"140";"6-6";"95-101"
"141";"6-6";"102-110"
"142";"6-6";"111-118"
"143";"6-6";"119-124"
"144";"6-6";"125-131"
"145";"6-6";"132-137"
"146";"6-6";"138-142"
"147";"6-6";"143-146"
"148";"6-6";"147-151"
"149";"6-6";"152-157"
"150";"6-6";"158-165"
"151";"7-7";"1-11"
"152";"7-7";"12-22"
"153";"7-7";"23-30"
"154";"7-7";"31-37"
"155";"7-7";"38-43"
"156";"7-7";"44-51"
"157";"7-7";"52-57"
"158";"7-7";"58-67"
"159";"7-7";"68-73"
"160";"7-7";"74-81"
"161";"7-7";"82-87"
"162";"7-7";"88-95"
"163";"7-7";"96-104"
"164";"7-7";"105-120"
"165";"7-7";"121-130"
"166";"7-7";"131-137"
"167";"7-7";"138-143"
"168";"7-7";"144-149"
"169";"7-7";"150-155"
"170";"7-7";"156-159"
"171";"7-7";"160-163"
"172";"7-7";"164-170"
"173";"7-7";"171-178"
"174";"7-7";"179-187"
"175";"7-7";"188-195"
"176";"7-7";"196-206"
"177";"8-8";"1-8"
"178";"8-8";"9-16"
"179";"8-8";"17-25"
"180";"8-8";"26-33"
"181";"8-8";"34-40"
"182";"8-8";"41-45"
"183";"8-8";"46-52"
"184";"8-8";"53-61"
"185";"8-8";"62-69"
"186";"8-8";"70-75"
"187";"9-9";"1-6"
"188";"9-9";"7-13"
"189";"9-9";"14-20"
"190";"9-9";"21-26"
"191";"9-9";"27-31"
"192";"9-9";"32-36"
"193";"9-9";"37-40"
"194";"9-9";"41-47"
"195";"9-9";"48-54"
"196";"9-9";"55-61"
"197";"9-9";"62-68"
"198";"9-9";"69-72"
"199";"9-9";"73-79"
"200";"9-9";"80-86"
"201";"9-9";"87-93"
"202";"9-9";"94-99"
"203";"9-9";"100-106"
"204";"9-9";"107-111"
"205";"9-9";"112-117"
"206";"9-9";"118-122"
"207";"9-9";"123-129"
"208";"10-10";"1-6"
"209";"10-10";"7-14"
"210";"10-10";"15-20"
"211";"10-10";"21-25"
"212";"10-10";"26-33"
"213";"10-10";"34-42"
"214";"10-10";"43-53"
"215";"10-10";"54-61"
"216";"10-10";"62-70"
"217";"10-10";"71-78"
"218";"10-10";"79-88"
"219";"10-10";"89-97"
"220";"10-10";"98-106"
"221";"10-11";"107-109,1-5"
"222";"11-11";"6-12"
"223";"11-11";"13-19"
"224";"11-11";"20-28"
"225";"11-11";"29-37"
"226";"11-11";"38-45"
"227";"11-11";"46-53"
"228";"11-11";"54-62"
"229";"11-11";"63-71"
"230";"11-11";"72-81"
"231";"11-11";"82-88"
"232";"11-11";"89-97"
"233";"11-11";"98-108"
"234";"11-11";"109-117"
"235";"11-12";"118-123,1-4"
"236";"12-12";"5-14"
"237";"12-12";"15-22"
"238";"12-12";"23-30"
"239";"12-12";"31-37"
"240";"12-12";"38-43"
"241";"12-12";"44-52"
"242";"12-12";"53-63"
"243";"12-12";"64-69"
"244";"12-12";"70-78"
"245";"12-12";"79-86"
"246";"12-12";"87-95"
"247";"12-12";"96-103"
"248";"12-12";"104-111"
"249";"13-13";"1-5"
"250";"13-13";"6-13"
"251";"13-13";"14-18"
"252";"13-13";"19-28"
"253";"13-13";"29-34"
"254";"13-13";"35-42"
"255";"13-14";"43-43,1-5"
"256";"14-14";"6-10"
"257";"14-14";"11-18"
"258";"14-14";"19-24"
"259";"14-14";"25-33"
"260";"14-14";"34-42"
"261";"14-14";"43-52"
"262";"15-15";"1-15"
"263";"15-15";"16-31"
"264";"15-15";"32-51"
"265";"15-15";"52-70"
"266";"15-15";"71-90"
"267";"15-16";"91-99,1-6"
"268";"16-16";"7-14"
"269";"16-16";"15-26"
"270";"16-16";"27-34"
"271";"16-16";"35-42"
