"no";"nama";"asma";"arti";"tipe";"ayat";"ayat_start";"halaman"
"1";"Al Fatihah";"الفاتحة";"Pembukaan";"mekah";"7";"0";"1-1"
"2";"Al Baqarah";"البقرة";"Sapi Betina";"madinah";"286";"7";"2-49"
"3";"Ali Imran";"آل عمران";"Keluarga Imran";"madinah";"200";"293";"50-76"
"4";"An Nisaa";"النساء";"Wanita";"madinah";"176";"493";"77-106"
"5";"Al Maidah";"المائدة";"Hidangan";"madinah";"120";"669";"106-127"
"6";"Al An'am";"الأنعام";"Binatang Ternak";"mekah";"165";"789";"128-150"
"7";"Al A'raf";"الأعراف";"Tempat Tertinggi";"mekah";"206";"954";"151-176"
"8";"Al Anfaal";"الأنفال";"Harta Rampasan Perang";"madinah";"75";"1160";"177-186"
"9";"At Taubah";"التوبة";"Pengampunan";"madinah";"129";"1235";"187-207"
"10";"Yunus";"يونس";"Yunus";"mekah";"109";"1364";"208-221"
"11";"Huud";"هود";"Hud";"mekah";"123";"1473";"221-235"
"12";"Yusuf";"يوسف";"Yusuf";"mekah";"111";"1596";"235-248"
"13";"Ar Ra'du";"الرعد";"Guruh";"madinah";"43";"1707";"249-255"
"14";"Ibrahim";"ابراهيم";"Ibrahim";"mekah";"52";"1750";"255-261"
"15";"Al Hijr";"الحجر";"Negeri Kaum Samud";"mekah";"99";"1802";"262-267"
"16";"An Nahl";"النحل";"Lebah";"mekah";"128";"1901";"267-281"
"17";"Al Israa'";"الإسراء";"Keturunan Isra’il";"mekah";"111";"2029";"282-293"
"18";"Al Kahfi";"الكهف";"Gua";"mekah";"110";"2140";"293-304"
"19";"Maryam";"مريم";"Maryam";"mekah";"98";"2250";"305-312"
"20";"Thaahaa";"طه";"TaHa";"mekah";"135";"2348";"312-321"
"21";"Al Anbiyaa";"الأنبياء";"Nabi-Nabi";"mekah";"112";"2483";"322-331"
"22";"Al Hajj";"الحج";"Haji";"madinah";"78";"2595";"332-341"
"23";"Al Mu'minun";"المؤمنون";"Orang-Orang yang Beriman";"mekah";"118";"2673";"342-349"
